e8f9a315b68a result=OK in=3 out=3 ref=2 roundtrip=True cpu 309667509/312543975 (99.0797%, d=2876466) mem 964035/975017 (98.8737%, d=10982)
98ece030de63 result=OK in=3 out=3 ref=2 roundtrip=True cpu 309667509/312543975 (99.0797%, d=2876466) mem 964035/975017 (98.8737%, d=10982)
197a507ab874 result=OK in=3 out=3 ref=2 roundtrip=True cpu 309715509/312591975 (99.0798%, d=2876466) mem 964335/975317 (98.8740%, d=10982)
7e1534535392 result=OK in=3 out=3 ref=2 roundtrip=True cpu 312018955/314895421 (99.0865%, d=2876466) mem 972695/983677 (98.8836%, d=10982)
308f4a629b6d result=OK in=3 out=3 ref=2 roundtrip=True cpu 310028848/312905314 (99.0807%, d=2876466) mem 965537/976519 (98.8754%, d=10982)
db95d31ae9b7 result=OK in=3 out=3 ref=2 roundtrip=True cpu 311705616/314582082 (99.0856%, d=2876466) mem 971493/982475 (98.8822%, d=10982)
697039eccffc result=OK in=3 out=3 ref=2 roundtrip=True cpu 312018955/314895421 (99.0865%, d=2876466) mem 972695/983677 (98.8836%, d=10982)
99c134274c56 result=OK in=3 out=3 ref=2 roundtrip=True cpu 311657616/314534082 (99.0855%, d=2876466) mem 971193/982175 (98.8819%, d=10982)
ce6d05f4aa00 result=OK in=4 out=4 ref=2 roundtrip=False cpu 432406615/435283081 (99.3392%, d=2876466) mem 1370308/1381290 (99.2049%, d=10982)
a492490d7091 result=OK in=4 out=4 ref=2 roundtrip=False cpu 428835740/431712206 (99.3337%, d=2876466) mem 1357794/1368776 (99.1977%, d=10982)
430a88ee67ea result=OK in=4 out=4 ref=2 roundtrip=True cpu 432767954/435644420 (99.3397%, d=2876466) mem 1371810/1382792 (99.2058%, d=10982)
